2025-08-18 16:33:13 - trading_system - ERROR - ERROR: 'status'
2025-08-18 17:10:43 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -21.60%, Trades: 3, Win Rate: 66.7%
2025-08-18 17:10:43 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -6.94%, Trades: 6, Win Rate: 33.3%
2025-08-18 17:10:43 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:44 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:44 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -12.51%, Trades: 9, Win Rate: 77.8%
2025-08-18 17:10:44 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -6.16%, Trades: 11, Win Rate: 45.5%
2025-08-18 17:10:44 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 15.45%, Trades: 2, Win Rate: 100.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 2, Win Rate: 50.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 11.15%, Trades: 4, Win Rate: 75.0%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: -7.56%, Trades: 6, Win Rate: 33.3%
2025-08-18 17:10:45 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:46 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:46 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 14.29%, Trades: 8, Win Rate: 62.5%
2025-08-18 17:10:46 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 9.50%, Trades: 10, Win Rate: 60.0%
2025-08-18 17:10:46 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 5.93%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -3.83%, Trades: 3, Win Rate: 66.7%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -8.00%, Trades: 3, Win Rate: 66.7%
2025-08-18 17:10:47 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -13.46%, Trades: 7, Win Rate: 42.9%
2025-08-18 17:10:48 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:48 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:48 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -20.55%, Trades: 7, Win Rate: 42.9%
2025-08-18 17:10:48 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -1.19%, Trades: 11, Win Rate: 54.5%
2025-08-18 17:10:48 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 9.88%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: -9.82%, Trades: 3, Win Rate: 0.0%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 7.63%, Trades: 8, Win Rate: 87.5%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: -18.78%, Trades: 9, Win Rate: 11.1%
2025-08-18 17:10:49 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:50 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:50 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 6.27%, Trades: 13, Win Rate: 76.9%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para XRPUSDT: Return: -7.52%, Trades: 15, Win Rate: 33.3%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 1.38%, Trades: 1, Win Rate: 100.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: -4.98%, Trades: 1, Win Rate: 0.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: -28.42%, Trades: 2, Win Rate: 50.0%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 23.40%, Trades: 3, Win Rate: 33.3%
2025-08-18 17:10:51 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para LINKUSDT: Return: -27.98%, Trades: 6, Win Rate: 50.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 20.24%, Trades: 8, Win Rate: 37.5%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 9.34%, Trades: 2, Win Rate: 100.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para DOTUSDT: Return: -12.97%, Trades: 3, Win Rate: 0.0%
2025-08-18 17:10:52 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:53 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:53 - trading_system - INFO - Backtest completado para DOTUSDT: Return: -1.48%, Trades: 3, Win Rate: 66.7%
2025-08-18 17:10:53 - trading_system - INFO - Backtest completado para DOTUSDT: Return: -14.47%, Trades: 6, Win Rate: 16.7%
2025-08-18 17:10:53 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 1.77%, Trades: 7, Win Rate: 57.1%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para DOTUSDT: Return: -15.50%, Trades: 11, Win Rate: 27.3%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 6.00%, Trades: 4, Win Rate: 100.0%
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para BNBUSDT: Return: -6.09%, Trades: 3, Win Rate: 0.0%
