ticker,strategy,entry_date,entry_price,exit_price,profit_pct,profit_usd,exit_reason
BTC-USD,Momentum,2025-07-21 05:00:00+00:00,118427.15625,118360.5390625,-0.056251614586920386,-0.8437742188038058,TIME
BTC-USD,Momentum,2025-07-25 01:00:00+00:00,117503.8828125,115153.80515625,-1.9999999999999967,-29.99746867734354,SL
BTC-USD,Momentum,2025-07-26 12:00:00+00:00,117974.9375,118096.6484375,0.10316677429899042,1.5427289271674054,TIME
BTC-USD,Momentum,2025-07-31 11:00:00+00:00,118342.421875,115975.5734375,-1.9999999999999976,-29.912104458093022,SL
BTC-USD,Momentum,2025-08-03 17:00:00+00:00,114113.203125,114606.0546875,0.4318970539807989,6.440096472217432,TIME
BTC-USD,Momentum,2025-08-06 19:00:00+00:00,115205.375,114555.6640625,-0.5639588756166976,-8.41474252790941,TIME
BTC-USD,Momentum,2025-08-09 12:00:00+00:00,117132.5625,120646.53937500001,3.0000000000000067,44.724666309827654,TP
BTC-USD,Momentum,2025-08-13 08:00:00+00:00,119980.5546875,123579.971328125,3.0000000000000004,44.92592730822178,TP
BTC-USD,Mean Reversion,2025-07-21 19:00:00+00:00,116856.4921875,118260.607421875,1.201572294436198,18.074889142804413,TP
BTC-USD,Mean Reversion,2025-07-25 02:00:00+00:00,116533.9296875,115151.2421875,-1.1865106614939063,-17.880490620171404,TIME
BTC-USD,Mean Reversion,2025-07-25 03:00:00+00:00,115427.6015625,115270.9296875,-0.1357317252365914,-2.041810929968601,TIME
BTC-USD,Mean Reversion,2025-07-25 05:00:00+00:00,115604.828125,116291.2265625,0.5937454764067623,8.929888547574322,TIME
BTC-USD,Mean Reversion,2025-07-28 13:00:00+00:00,118422.59375,119120.921484375,0.5896913015173628,8.876812870098956,TP
BTC-USD,Mean Reversion,2025-07-28 14:00:00+00:00,117992.28125,119065.23046875,0.9093384816220764,13.70067274654792,TP
BTC-USD,Mean Reversion,2025-07-28 17:00:00+00:00,117679.984375,118908.232421875,1.0437187372162242,15.746780741058819,TP
BTC-USD,Mean Reversion,2025-07-31 19:00:00+00:00,116779.0859375,115435.421875,-1.1506033393848683,-17.386546269235733,TIME
BTC-USD,Mean Reversion,2025-07-31 20:00:00+00:00,116494.046875,115269.4296875,-1.051227268990006,-15.85747772169888,TIME
BTC-USD,Mean Reversion,2025-07-31 21:00:00+00:00,116270.8203125,115945.609375,-0.27970124974256966,-4.212564319688772,TIME
BTC-USD,Mean Reversion,2025-07-31 22:00:00+00:00,116111.1875,115640.3046875,-0.4055447391751118,-6.105323249155681,TIME
BTC-USD,Mean Reversion,2025-07-31 23:00:00+00:00,115757.0,115672.640625,-0.0728762623426661,-1.0964572719057333,TIME
BTC-USD,Mean Reversion,2025-08-01 00:00:00+00:00,115435.421875,115575.5546875,0.12139498450635346,1.8262443630937524,TIME
BTC-USD,Mean Reversion,2025-08-01 19:00:00+00:00,113271.96875,113741.7109375,0.41470294255832824,6.239852674513971,TIME
BTC-USD,Mean Reversion,2025-08-02 15:00:00+00:00,112869.921875,113621.88671875,0.6662225252381925,10.030592842156713,TP
BTC-USD,Mean Reversion,2025-08-02 17:00:00+00:00,112677.6015625,113521.817578125,0.7492314390067428,11.291641235484033,TP
BTC-USD,Mean Reversion,2025-08-02 18:00:00+00:00,112332.953125,113479.369921875,1.0205525315437105,15.397997654256754,TP
BTC-USD,Mean Reversion,2025-08-02 19:00:00+00:00,112272.171875,113426.328125,1.027998506419737,15.534085479191138,TP
BTC-USD,Mean Reversion,2025-08-05 07:00:00+00:00,113975.359375,114751.359375,0.6808489170425132,10.304172565585722,TP
BTC-USD,Mean Reversion,2025-08-05 14:00:00+00:00,113027.515625,113687.09375,0.5835553593766784,8.840722144114652,TIME
BTC-USD,Mean Reversion,2025-08-05 15:00:00+00:00,112835.015625,113562.59375,0.6448159030863785,9.777355478967461,TIME
