Timestamp,Ticker,Tipo,Precio,Score_Entrada,Motivo_Salida,Resultado_USD,Resultado_Porc
2025-08-16 10:54:06,ETH-USD,Entrada,2331.45263671875,5,,,
2025-08-16 10:54:06,AVAX-USD,Entrada,21.797014236450195,5,,,
2025-08-16 10:54:06,DOT-USD,Entrada,4.740311145782471,5,,,
2025-08-16 10:54:06,ETH-USD,Salida,2296.480847167969,,SL,-34.9718,-1.5
2025-08-16 10:54:06,AVAX-USD,Salida,22.450924663543702,,TP,0.6539,3.0
2025-08-16 10:54:06,DOT-USD,Salida,4.882520480155945,,TP,0.1422,3.0
2025-08-16 10:54:06,ETH-USD,Entrada,2237.9052734375,6,,,
2025-08-16 10:54:06,AVAX-USD,Entrada,22.368793487548828,6,,,
2025-08-16 10:54:06,DOT-USD,Entrada,4.712969779968262,6,,,
2025-08-16 10:54:06,ETH-USD,Salida,2204.3366943359374,,SL,-33.5686,-1.5
2025-08-16 10:54:06,AVAX-USD,Salida,22.033261585235596,,SL,-0.3355,-1.5
2025-08-16 10:54:06,DOT-USD,Salida,4.642275233268737,,SL,-0.0707,-1.5
2025-08-16 10:54:06,SOL-USD,Entrada,178.49549865722656,5,,,
2025-08-16 10:54:06,DOGE-USD,Entrada,0.2392670065164566,6,,,
2025-08-16 10:54:06,SOL-USD,Salida,175.81806617736817,,SL,-2.6774,-1.5
2025-08-16 10:54:06,DOGE-USD,Salida,0.23567800141870976,,SL,-0.0036,-1.5
2025-08-16 10:54:06,BTC-USD,Entrada,86065.671875,6,,,
2025-08-16 10:54:06,ETH-USD,Entrada,2145.573974609375,5,,,
2025-08-16 10:54:06,ADA-USD,Entrada,0.8552640080451965,7,,,
2025-08-16 10:54:06,SOL-USD,Entrada,142.02108764648438,6,,,
2025-08-16 10:54:06,XRP-USD,Entrada,2.385741949081421,5,,,
2025-08-16 10:54:06,DOGE-USD,Entrada,0.19907599687576294,6,,,
2025-08-16 10:54:06,MATIC-USD,Entrada,0.2552550137042999,7,,,
2025-08-16 10:54:06,AVAX-USD,Entrada,20.9365177154541,5,,,
2025-08-16 10:54:06,LINK-USD,Entrada,14.450200080871582,5,,,
2025-08-16 10:54:06,BTC-USD,Salida,88647.64203125,,TP,2581.9702,3.0
2025-08-16 10:54:06,ETH-USD,Salida,2209.9411938476565,,TP,64.3672,3.0
2025-08-16 10:54:06,ADA-USD,Salida,0.8809219282865525,,TP,0.0257,3.0
2025-08-16 10:54:06,SOL-USD,Salida,146.2817202758789,,TP,4.2606,3.0
