ticker,type,entry_date,exit_date,entry_price,exit_price,profit_pct,profit_usd,exit_reason,confidence
BTC-USD,LONG,2025-08-14 12:00:00+00:00,2025-08-14 13:00:00+00:00,118951.2734375,119568.16111328187,0.5186053565924988,5.186053565924989,SL,5
BTC-USD,LONG,2025-08-15 15:00:00+00:00,2025-08-15 16:00:00+00:00,117359.5390625,117180.15728438894,-0.15284805951353095,-1.5292732733593946,SL,6
ETH-USD,LONG,2025-08-09 20:00:00+00:00,2025-08-10 03:00:00+00:00,4282.19677734375,4236.161394391741,-1.075041277775302,-10.754343967511284,SL,6
ETH-USD,LONG,2025-08-10 07:00:00+00:00,2025-08-11 01:00:00+00:00,4185.6962890625,4301.934465680803,2.777033224365596,27.750622073518585,TP,5
ETH-USD,SHORT,2025-08-12 15:00:00+00:00,2025-08-12 16:00:00+00:00,4469.4287109375,4457.268076836946,0.2720847537134737,2.7264669194425424,SL,5
ETH-USD,LONG,2025-08-13 09:00:00+00:00,2025-08-13 15:00:00+00:00,4707.39501953125,4637.536202566965,-1.4840228337421677,-14.874924086835668,SL,5
ETH-USD,LONG,2025-08-13 23:00:00+00:00,2025-08-14 12:00:00+00:00,4758.123046875,4687.828334263393,-1.4773622270608249,-14.78618664722341,SL,6
ETH-USD,LONG,2025-08-15 15:00:00+00:00,2025-08-15 16:00:00+00:00,4432.56494140625,4434.709894952612,0.04839079798526658,0.48360400892177086,SL,5
SOL-USD,SHORT,2025-08-12 16:00:00+00:00,2025-08-12 17:00:00+00:00,184.99703979492188,182.8375863040581,1.1672908351709987,11.666140421150962,SL,5
SOL-USD,LONG,2025-08-13 09:00:00+00:00,2025-08-13 14:00:00+00:00,201.8040771484375,198.48825781685966,-1.6430883748393659,-16.44052565225132,SL,6
SOL-USD,LONG,2025-08-14 00:00:00+00:00,2025-08-14 03:00:00+00:00,201.469970703125,208.44000462123327,3.4595894831289407,34.55931878285603,TP,6
SOL-USD,LONG,2025-08-14 11:00:00+00:00,2025-08-14 12:00:00+00:00,203.42930603027344,199.18450110299247,-2.0866241005852295,-20.916292758296876,SL,6
SOL-USD,LONG,2025-08-15 15:00:00+00:00,2025-08-15 16:00:00+00:00,185.75994873046875,186.34776303186473,0.3164375880878812,3.165347552928864,SL,5
BNB-USD,SHORT,2025-08-12 19:00:00+00:00,2025-08-12 20:00:00+00:00,831.531005859375,833.1466324909456,-0.19429541654925095,-1.9441657930583784,SL,5
BNB-USD,SHORT,2025-08-14 06:00:00+00:00,2025-08-14 07:00:00+00:00,863.3194580078125,862.7918641869072,0.06111223557068334,0.6113846397139925,SL,5
ADA-USD,SHORT,2025-08-12 16:00:00+00:00,2025-08-12 17:00:00+00:00,0.8232843279838562,0.8173279834349703,0.7234857201123276,7.238404614961879,SL,5
ADA-USD,LONG,2025-08-13 10:00:00+00:00,2025-08-13 23:00:00+00:00,0.8796806931495667,0.9086060311113086,3.2881633286936203,32.92155695077095,TP,6
ADA-USD,LONG,2025-08-13 22:00:00+00:00,2025-08-14 00:00:00+00:00,0.900931179523468,0.9265446024281638,2.842994391452141,28.558058303423127,TP,5
ADA-USD,LONG,2025-08-14 12:00:00+00:00,2025-08-14 21:00:00+00:00,0.9236297607421875,0.8894013315439224,-3.705860362355652,-37.331433679656925,SL,6
