ID,Timestamp_Open,Timestamp_Close,Ticker,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Score,Result,PnL_Percent,PnL_USD,Duration_Hours,Max_Favorable,Max_Adverse,Leverage,Position_Size
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:33.825638,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.08,0.29,-1.16,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:05:33.988484,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.82,0.40,-1.06,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:37.759056,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.08,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:39.315747,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.08,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:41.348941,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.08,0.29,-1.16,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:05:41.537010,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.83,0.40,-1.06,3,3.0
FIL-USD_20250816_023117,2025-08-16T02:31:17.630569,2025-08-16T06:05:41.711713,FIL-USD,LONG,2.4953455924987793,2.4703921365737913,2.4703921365737913,2.5577292323112486,6,STOP_LOSS,-3.00,-30.00,3.57,0.36,-1.10,3,3.0
FIL-USD_20250816_024630,2025-08-16T02:46:30.588700,2025-08-16T06:05:41.883537,FIL-USD,LONG,2.4951109886169434,2.4701598787307737,2.4701598787307737,2.557488763332367,6,STOP_LOSS,-3.00,-30.00,3.32,0.37,-1.09,3,3.0
FIL-USD_20250816_030142,2025-08-16T03:01:42.609456,2025-08-16T06:07:13.029834,FIL-USD,LONG,2.492344617843628,2.4674211716651917,2.4674211716651917,2.5546532332897183,6,STOP_LOSS,-3.00,-30.00,3.09,0.48,-1.03,3,3.0
ATOM-USD_20250816_061921,2025-08-16T06:19:21.729734,2025-08-16T09:29:48.743570,ATOM-USD,LONG,4.469709873199463,4.581452620029449,4.4250127744674685,4.581452620029449,5,TAKE_PROFIT,7.50,75.00,3.17,2.54,0.00,3,3.0
ATOM-USD_20250816_061921,2025-08-16T06:19:21.729734,2025-08-16T09:30:08.244727,ATOM-USD,LONG,4.469709873199463,4.581452620029449,4.4250127744674685,4.581452620029449,5,TAKE_PROFIT,7.50,75.00,3.18,2.54,0.00,3,3.0
ATOM-USD_20250816_044807,2025-08-16T04:48:07.437545,2025-08-16T09:30:14.097113,ATOM-USD,LONG,4.470510959625244,4.5822737336158745,4.425805850028992,4.5822737336158745,5,TAKE_PROFIT,7.50,75.00,4.7,2.52,-0.02,3,3.0
ATOM-USD_20250816_044807,2025-08-16T04:48:07.437545,2025-08-16T09:30:29.670141,ATOM-USD,LONG,4.470510959625244,4.5822737336158745,4.425805850028992,4.5822737336158745,5,TAKE_PROFIT,7.50,75.00,4.71,2.52,-0.02,3,3.0
FIL-USD_20250816_060409,2025-08-16T06:04:09.951407,2025-08-16T09:30:37.322468,FIL-USD,LONG,2.4679818153381348,2.529681360721588,2.4433019971847534,2.529681360721588,6,TAKE_PROFIT,7.50,75.00,3.44,2.51,-0.05,3,3.0
FIL-USD_20250816_061922,2025-08-16T06:19:22.330749,2025-08-16T09:31:50.980656,FIL-USD,LONG,2.468310594558716,2.5300183594226837,2.443627488613129,2.5300183594226837,6,TAKE_PROFIT,7.50,75.00,3.21,2.51,-0.04,3,3.0
ATOM-USD_20250816_050319,2025-08-16T05:03:19.716176,2025-08-16T09:33:14.558139,ATOM-USD,LONG,4.479977607727051,4.591977047920227,4.4351778316497805,4.591977047920227,5,TAKE_PROFIT,7.50,75.00,4.5,2.52,-0.23,3,3.0
ATOM-USD_20250816_060409,2025-08-16T06:04:09.352609,2025-08-16T09:33:17.074840,ATOM-USD,LONG,4.472500324249268,4.584312832355499,4.4277753210067745,4.584312832355499,5,TAKE_PROFIT,7.50,75.00,3.49,2.69,-0.06,3,3.0
ATOM-USD_20250816_050319,2025-08-16T05:03:19.716176,2025-08-16T09:33:27.782444,ATOM-USD,LONG,4.479977607727051,4.591977047920227,4.4351778316497805,4.591977047920227,5,TAKE_PROFIT,7.50,75.00,4.5,2.52,-0.23,3,3.0
ATOM-USD_20250816_060409,2025-08-16T06:04:09.352609,2025-08-16T09:33:40.306167,ATOM-USD,LONG,4.472500324249268,4.584312832355499,4.4277753210067745,4.584312832355499,5,TAKE_PROFIT,7.50,75.00,3.49,2.69,-0.06,3,3.0
FIL-USD_20250816_063434,2025-08-16T06:34:34.728021,2025-08-16T09:38:53.677111,FIL-USD,LONG,2.4743852615356445,2.5362448930740356,2.449641408920288,2.5362448930740356,6,TAKE_PROFIT,7.50,75.00,3.07,2.51,0.00,3,3.0
ATOM-USD_20250816_063434,2025-08-16T06:34:34.128159,2025-08-16T09:42:51.097672,ATOM-USD,LONG,4.482755661010742,4.594824552536011,4.437928104400635,4.594824552536011,5,TAKE_PROFIT,7.50,75.00,3.14,2.50,-0.22,3,3.0
ATOM-USD_20250816_063434,2025-08-16T06:34:34.128159,2025-08-16T09:42:57.739526,ATOM-USD,LONG,4.482755661010742,4.594824552536011,4.437928104400635,4.594824552536011,5,TAKE_PROFIT,7.50,75.00,3.14,2.50,-0.22,3,3.0
ATOM-USD_20250816_063434,2025-08-16T06:34:34.128159,2025-08-16T09:43:15.619488,ATOM-USD,LONG,4.482755661010742,4.594824552536011,4.437928104400635,4.594824552536011,5,TAKE_PROFIT,7.50,75.00,3.14,2.50,-0.22,3,3.0
ATOM-USD_20250816_063434,2025-08-16T06:34:34.128159,2025-08-16T09:43:18.479429,ATOM-USD,LONG,4.482755661010742,4.594824552536011,4.437928104400635,4.594824552536011,5,TAKE_PROFIT,7.50,75.00,3.15,2.50,-0.22,3,3.0
ATOM-USD_20250816_063434,2025-08-16T06:34:34.128159,2025-08-16T09:43:40.723575,ATOM-USD,LONG,4.482755661010742,4.594824552536011,4.437928104400635,4.594824552536011,5,TAKE_PROFIT,7.50,75.00,3.15,2.50,-0.22,3,3.0
ATOM-USD_20250816_063434,2025-08-16T06:34:34.128159,2025-08-16T09:43:47.254647,ATOM-USD,LONG,4.482755661010742,4.594824552536011,4.437928104400635,4.594824552536011,5,TAKE_PROFIT,7.50,75.00,3.15,2.50,-0.22,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:47:49.925278,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.25,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:47:51.116897,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.25,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:47:51.689932,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.25,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:47:55.979642,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.25,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:02.055110,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.25,2.51,-0.33,3,3.0
