ticker,type,entry_date,exit_date,entry_price,exit_price,profit_pct,profit_usd,exit_reason,confidence,ml_prediction,sentiment
BTC-USD,SHORT,2025-07-20 09:00:00+00:00,2025-07-20 14:00:00+00:00,118048.1796875,118584.06696428571,-0.4539564084802695,-3.631651267842156,SL,6.0,0.15001814052782808,extreme_greed
ETH-USD,SHORT,2025-08-01 14:00:00+00:00,2025-08-01 19:00:00+00:00,3631.84033203125,3553.7702985491073,2.1495998266663587,17.190553335782177,TRAILING_STOP,6.0,0.2945079557442957,extreme_greed
BNB-USD,SHORT,2025-08-03 16:00:00+00:00,2025-08-04 00:00:00+00:00,751.3878173828125,756.5116751534598,-0.6819191969992818,-5.462750436482544,SL,5.0,0.15334744233004427,extreme_greed
ADA-USD,SHORT,2025-07-27 09:00:00+00:00,2025-07-27 10:00:00+00:00,0.8162216544151306,0.8265090925352914,-1.260373094062579,-10.091148089846024,SL,6.0,0.3186240763022103,extreme_greed
