ticker,strategy,type,entry_price,stop_loss,take_profit,score,risk_reward,timestamp,volume_ratio,rsi
BTC-USD,Volume Breakout,SHORT,105486.3984375,107028.99839843748,102688.7390625,10,1.8136000556487635,2025-07-01 19:00:00+00:00,7.019310592176914,30.152725966338465
BTC-USD,Volume Breakout,LONG,110462.3203125,108872.496328125,114278.9109375,10,2.4006372167673535,2025-07-03 13:00:00+00:00,3.3097539203086046,68.33132875706144
ETH-USD,Volume Breakout,LONG,3052.875244140625,3009.258446044922,3183.836962890625,10,3.0025523300139243,2025-07-14 04:00:00+00:00,4.691619890624839,69.41135696442706
ETH-USD,Volume Breakout,LONG,3095.159912109375,3048.8279833984375,3286.106103515625,10,4.121265760325956,2025-07-15 17:00:00+00:00,3.5622674768064106,71.7698044898219
SOL-USD,Volume Breakout,LONG,147.52755737304688,145.3195888519287,152.82584228515626,10,2.3996197687755916,2025-06-20 07:00:00+00:00,9.506816786079836,66.10666240452841
