period,total_trades,win_rate,profit_factor,avg_win,avg_loss,avg_score,avg_rr,partial_close_count,trailing_count,grade
Últimos 20 días,12,33.33333333333333,0.8066735459682084,1.2786859246793147,-0.7925671611956572,7.916666666666667,5.5701854715628984,0,4,❌ INSUFICIENTE - Revisar balance
Julio 2024,13,53.84615384615385,1.4808131176263437,1.1594356982783565,-0.9134677193385534,7.769230769230769,4.187476219278907,0,7,❌ INSUFICIENTE - Revisar balance
Agosto 2024,15,33.33333333333333,1.4059002947254104,2.25835149242336,-0.803169151075697,7.466666666666667,5.463271777721819,2,5,❌ INSUFICIENTE - Revisar balance
Septiembre 2024,20,35.0,0.8123518160565202,1.301439295395332,-0.8626496443557085,7.85,4.605348754783365,2,7,❌ INSUFICIENTE - Revisar balance
Octubre 2024,22,9.090909090909092,0.21914794976542873,1.5837961745843172,-0.7227063617430958,7.7727272727272725,4.514799194291681,0,2,❌ INSUFICIENTE - Revisar balance
