ticker,type,entry_price,stop_loss,take_profit,score,risk_reward,risk_pct,timestamp,trend_score,trend_direction,volume_ratio,rsi,volatility,reasons,sr_levels,position_size
LINK-USD,LONG,22.292253494262695,22.084935665130615,23.32110710144043,8,4.962687538669245,0.9299994241741284,2025-08-16 18:00:00+00:00,4,strong_bullish,7.078732876193171,57.230960476272514,0.9937989384000404,"Volume Breakout Alcista, MACD positivo, Volumen excepcional","{'resistance': 22.47690773010254, 'support': 21.918045043945312, 'resistance_distance': 0.008283336446329564, 'support_distance': 0.016786479232065613}",0.08
ETH-USD,SHORT,4412.6181640625,4455.259611983285,4342.6138916015625,7,1.6416954834879007,0.9663525448013627,2025-08-16 18:00:00+00:00,-4,strong_bearish,4.957613329925067,42.67061865893994,0.6345826433029745,"EMA Trend Following, Volumen confirmando, Stop en resistencia","{'resistance': 4466.1474609375, 'support': 4379.4716796875, 'resistance_distance': 0.012130960551029862, 'support_distance': 0.007511749973055343}",0.06895121030649182
DOGE-USD,SHORT,0.22961486876010895,0.23092165632914788,0.22479472096477235,7,3.688547327460077,0.5691214929135109,2025-08-16 18:00:00+00:00,-6,strong_bearish,3.431431225160496,37.39770563741715,0.8396926246744858,"EMA Trend Following, Volumen confirmando, Stop en resistencia","{'resistance': 0.232446551322937, 'support': 0.2263973504304886, 'resistance_distance': 0.012332313574111246, 'support_distance': 0.01401267412251894}",0.08
